id,name,category,status
0,Prod_0,Cat_0,inactive
1,Prod_1,Cat_1,active
2,Prod_2,Cat_2,active
3,Prod_3,Cat_3,active
4,Prod_4,Cat_4,active
5,Prod_5,Cat_0,active
6,Prod_6,Cat_1,active
7,Prod_7,Cat_2,active
8,Prod_8,Cat_3,active
9,Prod_9,Cat_4,active
10,Prod_10,Cat_0,inactive
11,Prod_11,Cat_1,active
12,Prod_12,Cat_2,active
13,Prod_13,Cat_3,active
14,Prod_14,Cat_4,active
15,Prod_15,Cat_0,active
16,Prod_16,Cat_1,active
17,Prod_17,Cat_2,active
18,Prod_18,Cat_3,active
19,Prod_19,Cat_4,active
20,Prod_20,Cat_0,inactive
21,Prod_21,Cat_1,active
22,Prod_22,Cat_2,active
23,Prod_23,Cat_3,active
24,Prod_24,Cat_4,active
25,Prod_25,Cat_0,active
26,Prod_26,Cat_1,active
27,Prod_27,Cat_2,active
28,Prod_28,Cat_3,active
29,Prod_29,Cat_4,active
30,Prod_30,Cat_0,inactive
31,Prod_31,Cat_1,active
32,Prod_32,Cat_2,active
33,Prod_33,Cat_3,active
34,Prod_34,Cat_4,active
35,Prod_35,Cat_0,active
36,Prod_36,Cat_1,active
37,Prod_37,Cat_2,active
38,Prod_38,Cat_3,active
39,Prod_39,Cat_4,active
40,Prod_40,Cat_0,inactive
41,Prod_41,Cat_1,active
42,Prod_42,Cat_2,active
43,Prod_43,Cat_3,active
44,Prod_44,Cat_4,active
45,Prod_45,Cat_0,active
46,Prod_46,Cat_1,active
47,Prod_47,Cat_2,active
48,Prod_48,Cat_3,active
49,Prod_49,Cat_4,active
50,Prod_50,Cat_0,inactive
51,Prod_51,Cat_1,active
52,Prod_52,Cat_2,active
53,Prod_53,Cat_3,active
54,Prod_54,Cat_4,active
55,Prod_55,Cat_0,active
56,Prod_56,Cat_1,active
57,Prod_57,Cat_2,active
58,Prod_58,Cat_3,active
59,Prod_59,Cat_4,active
60,Prod_60,Cat_0,inactive
61,Prod_61,Cat_1,active
62,Prod_62,Cat_2,active
63,Prod_63,Cat_3,active
64,Prod_64,Cat_4,active
65,Prod_65,Cat_0,active
66,Prod_66,Cat_1,active
67,Prod_67,Cat_2,active
68,Prod_68,Cat_3,active
69,Prod_69,Cat_4,active
70,Prod_70,Cat_0,inactive
71,Prod_71,Cat_1,active
72,Prod_72,Cat_2,active
73,Prod_73,Cat_3,active
74,Prod_74,Cat_4,active
75,Prod_75,Cat_0,active
76,Prod_76,Cat_1,active
77,Prod_77,Cat_2,active
78,Prod_78,Cat_3,active
79,Prod_79,Cat_4,active
80,Prod_80,Cat_0,inactive
81,Prod_81,Cat_1,active
82,Prod_82,Cat_2,active
83,Prod_83,Cat_3,active
84,Prod_84,Cat_4,active
85,Prod_85,Cat_0,active
86,Prod_86,Cat_1,active
87,Prod_87,Cat_2,active
88,Prod_88,Cat_3,active
89,Prod_89,Cat_4,active
90,Prod_90,Cat_0,inactive
91,Prod_91,Cat_1,active
92,Prod_92,Cat_2,active
93,Prod_93,Cat_3,active
94,Prod_94,Cat_4,active
95,Prod_95,Cat_0,active
96,Prod_96,Cat_1,active
97,Prod_97,Cat_2,active
98,Prod_98,Cat_3,active
99,Prod_99,Cat_4,active
100,Prod_100,Cat_0,inactive
101,Prod_101,Cat_1,active
102,Prod_102,Cat_2,active
103,Prod_103,Cat_3,active
104,Prod_104,Cat_4,active
105,Prod_105,Cat_0,active
106,Prod_106,Cat_1,active
107,Prod_107,Cat_2,active
108,Prod_108,Cat_3,active
109,Prod_109,Cat_4,active
